year,party,pct_won,state_dist
2014,R,64.67,CO-4
2014,R,59.8,CO-5
2014,R,51.9,CO-6
2014,D,55.07,CO-7
2016,D,67.87,CO-1
2016,D,56.89,CO-2
2016,R,54.6,CO-3
2016,R,63.55,CO-4
2016,R,62.28,CO-5
2016,R,50.91,CO-6
2016,D,55.18,CO-7
2018,D,73.81,CO-1
2018,D,60.29,CO-2
2018,R,51.52,CO-3
2018,R,60.62,CO-4
2018,R,57.03,CO-5
2018,D,54.1,CO-6
2018,D,60.43,CO-7
2014,D,58.49,CT-1
2014,D,57.6,CT-2
2014,D,61.93,CT-3
2014,D,51.01,CT-4
2014,D,49.82,CT-5
2016,D,56.38,CT-2
2016,D,62.15,CT-3
2016,D,59.9,CT-4
2016,D,52.9,CT-5
2018,D,60.61,CT-1
2018,D,57.99,CT-2
2018,D,60.4,CT-3
2018,D,61.21,CT-4
2018,D,52.8,CT-5
2016,D,59.77,CT-1
2014,D,59.26,DE-0
2016,D,55.53,DE-0
2018,D,64.45,DE-0
2014,R,70.15,FL-1
2014,D,50.48,FL-2
2014,R,64.98,FL-3
2014,R,78.28,FL-4
2014,D,65.47,FL-5
2014,R,62.54,FL-6
2014,R,63.6,FL-7
2014,R,65.84,FL-8
2014,D,53.97,FL-9
2014,R,61.54,FL-10
2014,R,66.66,FL-11
2014,R,100.0,FL-12
2014,R,75.22,FL-13
2014,D,100.0,FL-14
2014,R,60.28,FL-15
2014,R,61.54,FL-16
2014,R,63.24,FL-17
2014,D,59.78,FL-18
2014,R,64.55,FL-19
2014,D,81.6,FL-20
2014,D,99.63,FL-21
2014,D,58.03,FL-22
2014,D,62.67,FL-23
2014,D,86.18,FL-24
2014,R,100.0,FL-25
2014,R,51.46,FL-26
2014,R,100.0,FL-27
2016,R,69.1,FL-1
2016,R,67.32,FL-2
2016,R,56.56,FL-3
2016,R,70.18,FL-4
2016,D,64.23,FL-5
2016,R,58.57,FL-6
2016,D,51.47,FL-7
2016,R,63.11,FL-8
2016,D,57.48,FL-9
2016,D,64.87,FL-10
2016,R,65.37,FL-11
2016,R,68.59,FL-12
2016,D,51.9,FL-13
2016,D,61.79,FL-14
2016,R,57.46,FL-15
2016,R,59.77,FL-16
2016,R,61.81,FL-17
2016,R,53.6,FL-18
2016,R,65.87,FL-19
2016,D,80.31,FL-20
2016,D,62.71,FL-21
2016,D,58.94,FL-22
2016,D,56.7,FL-23
2016,D,,FL-24
2016,R,62.36,FL-25
2016,R,52.95,FL-26
2016,R,54.89,FL-27
2018,R,67.06,FL-1
2018,R,67.44,FL-2
2018,R,57.62,FL-3
2018,R,65.16,FL-4
2018,D,66.78,FL-5
2018,R,56.31,FL-6
2018,D,57.69,FL-7
2018,R,60.5,FL-8
2018,D,58.02,FL-9
2018,R,65.14,FL-11
2018,R,58.09,FL-12
2018,D,57.64,FL-13
2018,R,53.02,FL-15
2018,R,54.56,FL-16
2018,R,62.26,FL-17
2018,R,54.3,FL-18
2018,R,62.27,FL-19
2018,D,99.92,FL-20
2018,D,62.02,FL-22
2018,D,58.48,FL-23
2018,R,60.45,FL-25
2018,D,50.87,FL-26
2018,D,51.76,FL-27
2018,D,100.0,FL-10
2018,D,100.0,FL-14
2018,D,100.0,FL-21
2018,D,100.0,FL-24
2014,R,60.91,GA-1
2014,D,59.15,GA-2
2014,R,100.0,GA-3
2014,D,99.93,GA-4
2014,D,100.0,GA-5
2014,R,66.04,GA-6
2014,R,65.39,GA-7
2014,R,99.91,GA-8
2014,R,80.67,GA-9
2014,R,66.52,GA-10
2014,R,100.0,GA-11
2014,R,54.75,GA-12
2014,D,100.0,GA-13
2014,R,100.0,GA-14
2016,R,99.59,GA-1
2016,D,61.23,GA-2
2016,R,68.35,GA-3
2016,D,75.72,GA-4
2016,D,84.44,GA-5
2016,R,61.68,GA-6
2016,R,60.38,GA-7
2016,R,67.64,GA-8
2016,R,100.0,GA-9
2016,R,99.55,GA-10
2016,R,67.41,GA-11
2016,R,61.6,GA-12
2016,D,100.0,GA-13
2016,R,100.0,GA-14
2018,R,57.74,GA-1
2018,D,59.65,GA-2
2018,R,65.53,GA-3
2018,D,78.85,GA-4
2018,D,100.0,GA-5
2018,R,50.07,GA-7
2018,R,62.89,GA-10
2018,R,61.79,GA-11
2018,R,76.5,GA-14
2018,D,50.51,GA-6
2018,R,100.0,GA-8
2018,R,79.51,GA-9
2018,R,59.48,GA-12
2018,D,76.18,GA-13
2014,D,51.24,HI-1
2014,D,75.76,HI-2
2016,D,68.1,HI-1
2016,D,76.23,HI-2
2018,D,73.1,HI-1
2018,D,77.36,HI-2
2014,R,65.01,ID-1
2014,R,61.36,ID-2
2016,R,68.17,ID-1
2016,R,62.93,ID-2
2018,R,62.75,ID-1
2018,R,60.67,ID-2
2014,D,73.09,IL-1
2014,D,78.49,IL-2
2014,D,64.56,IL-3
2014,D,78.15,IL-4
2014,D,63.23,IL-5
2014,R,67.14,IL-6
2014,D,85.1,IL-7
2014,D,55.73,IL-8
2014,D,66.06,IL-9
2014,R,51.3,IL-10
2014,D,53.46,IL-11
2014,R,52.46,IL-12
2014,R,58.66,IL-13
2014,R,65.41,IL-14
2014,R,74.92,IL-15
2014,R,70.62,IL-16
2014,D,55.46,IL-17
2014,R,74.72,IL-18
2016,D,74.09,IL-1
2016,D,79.81,IL-2
2016,D,99.96,IL-3
2016,D,100.0,IL-4
2016,D,67.84,IL-5
2016,R,59.22,IL-6
2016,D,84.24,IL-7
2016,D,58.31,IL-8
2016,D,66.47,IL-9
2016,D,52.6,IL-10
2016,D,60.45,IL-11
2016,R,54.31,IL-12
2016,R,59.66,IL-13
2016,R,59.3,IL-14
2016,R,100.0,IL-15
2016,R,99.95,IL-16
2016,D,60.31,IL-17
2016,R,72.13,IL-18
2018,D,73.51,IL-1
2018,D,81.06,IL-2
2018,D,73.01,IL-3
2018,D,86.59,IL-4
2018,D,76.66,IL-5
2018,D,53.58,IL-6
2018,D,87.62,IL-7
2018,D,65.97,IL-8
2018,D,73.49,IL-9
2018,D,65.59,IL-10
2018,D,63.84,IL-11
2018,R,51.57,IL-12
2018,R,50.38,IL-13
2018,D,52.5,IL-14
2018,R,70.93,IL-15
2018,R,59.12,IL-16
2018,D,62.09,IL-17
2018,R,67.23,IL-18
2014,D,60.85,IN-1
2014,R,58.94,IN-2
2014,R,65.79,IN-3
2014,R,66.87,IN-4
2014,R,65.21,IN-5
2014,R,65.9,IN-6
2014,D,54.73,IN-7
2014,R,60.32,IN-8
2014,R,62.18,IN-9
2016,D,81.51,IN-1
2016,R,59.26,IN-2
2016,R,70.11,IN-3
2016,R,64.59,IN-4
2016,R,61.46,IN-5
2016,R,69.14,IN-6
2016,D,59.98,IN-7
2016,R,63.69,IN-8
2016,R,54.14,IN-9
2018,D,65.09,IN-1
2018,R,54.83,IN-2
2018,R,64.73,IN-3
2018,R,64.06,IN-4
2018,R,56.76,IN-5
2018,R,63.82,IN-6
2018,D,64.86,IN-7
2018,R,64.43,IN-8
2018,R,56.48,IN-9
2014,R,51.07,IA-1
2014,D,52.48,IA-2
2014,R,52.76,IA-3
2014,R,61.62,IA-4
2016,R,53.74,IA-1
2016,D,53.66,IA-2
2016,R,53.45,IA-3
2016,R,61.23,IA-4
2018,D,50.96,IA-1
2018,D,54.79,IA-2
2018,D,49.3,IA-3
2018,R,50.34,IA-4
2014,R,67.97,KS-1
2014,R,57.04,KS-2
2014,R,60.02,KS-3
2014,R,66.66,KS-4
2016,R,65.9,KS-1
2016,R,60.94,KS-2
2016,R,51.3,KS-3
2016,R,60.67,KS-4
2018,R,68.15,KS-1
2018,R,47.64,KS-2
2018,D,53.57,KS-3
2018,R,59.44,KS-4
2014,R,73.12,KY-1
2014,R,69.19,KY-2
2014,D,63.49,KY-3
2014,R,67.73,KY-4
2014,R,78.25,KY-5
2014,R,59.99,KY-6
2016,R,72.56,KY-1
2016,R,100.0,KY-2
2016,D,63.5,KY-3
2016,R,71.32,KY-4
2016,R,100.0,KY-5
2016,R,61.09,KY-6
2018,R,68.59,KY-1
2018,R,66.72,KY-2
2018,D,62.07,KY-3
2018,R,62.24,KY-4
2018,R,78.94,KY-5
2018,R,51.0,KY-6
2014,R,77.56,LA-1
2014,D,68.69,LA-2
2014,R,78.67,LA-3
2014,R,73.43,LA-4
2014,R,41.28,LA-5
2014,R,41.82,LA-6
2016,R,74.56,LA-1
2016,D,69.75,LA-2
2016,R,27.5,LA-3
2016,R,32.51,LA-4
2016,R,81.57,LA-5
2016,R,62.67,LA-6
2018,R,71.5,LA-1
2018,D,80.59,LA-2
2018,R,55.65,LA-3
2018,R,64.24,LA-4
2018,R,66.54,LA-5
2018,R,69.47,LA-6
2014,D,57.98,ME-1
2014,R,45.19,ME-2
2016,D,55.92,ME-1
2016,R,52.86,ME-2
2018,D,58.82,ME-1
2018,D,49.48,ME-2
2014,R,70.42,MD-1
2014,D,61.32,MD-2
2014,D,59.55,MD-3
2014,D,70.18,MD-4
2014,D,64.03,MD-5
2014,D,49.7,MD-6
2014,D,69.94,MD-7
2014,D,60.74,MD-8
2016,R,66.99,MD-1
2016,D,62.1,MD-2
2016,D,63.19,MD-3
2016,D,74.07,MD-4
2016,D,67.38,MD-5
2016,D,55.96,MD-6
2016,D,74.89,MD-7
2016,D,60.57,MD-8
2018,R,59.99,MD-1
2018,D,66.01,MD-2
2018,D,69.11,MD-3
2018,D,78.05,MD-4
2018,D,70.28,MD-5
2018,D,58.98,MD-6
2018,D,76.44,MD-7
2018,D,68.17,MD-8
2014,D,73.81,MA-1
2014,D,71.94,MA-2
2014,D,60.27,MA-3
2014,D,72.13,MA-4
2014,D,71.0,MA-5
2014,D,53.65,MA-6
2014,D,80.72,MA-7
2014,D,76.65,MA-8
2014,D,53.08,MA-9
2016,D,67.43,MA-1
2016,D,75.85,MA-2
2016,D,65.73,MA-3
2016,D,67.25,MA-4
2016,D,74.1,MA-5
2016,D,74.31,MA-6
2016,D,81.82,MA-7
2016,D,68.44,MA-8
2016,D,52.47,MA-9
2018,D,97.64,MA-1
2018,D,67.16,MA-2
2018,D,62.0,MA-3
2018,D,97.72,MA-4
2018,D,75.88,MA-5
2018,D,65.19,MA-6
2018,D,98.25,MA-7
2018,D,98.42,MA-8
2018,D,59.38,MA-9
2014,R,52.14,MI-1
2014,R,63.63,MI-2
2014,R,57.91,MI-3
2014,R,56.49,MI-4
2014,D,66.71,MI-5
2014,R,55.89,MI-6
2014,R,53.45,MI-7
2014,R,54.6,MI-8
2014,D,60.39,MI-9
2014,R,68.68,MI-10
2014,R,55.9,MI-11
2014,D,65.01,MI-12
2014,D,79.49,MI-13
2014,D,77.79,MI-14
2016,R,54.9,MI-1
2016,R,62.63,MI-2
2016,R,59.45,MI-3
2016,R,61.62,MI-4
2016,D,61.16,MI-5
2016,R,58.64,MI-6
2016,R,55.05,MI-7
2016,R,56.03,MI-8
2016,D,57.91,MI-9
2016,R,63.09,MI-10
2016,R,52.93,MI-11
2016,D,64.34,MI-12
2016,D,77.1,MI-13
2016,D,78.51,MI-14
2018,R,56.32,MI-1
2018,R,55.32,MI-2
2018,R,54.42,MI-3
2018,R,62.62,MI-4
2018,D,59.51,MI-5
2018,R,50.24,MI-6
2018,R,53.8,MI-7
2018,D,50.61,MI-8
2018,D,59.67,MI-9
2018,R,60.32,MI-10
2018,D,51.84,MI-11
2018,D,68.08,MI-12
2018,D,84.24,MI-13
2018,D,80.88,MI-14
2014,D,54.19,MN-1
2014,R,56.04,MN-2
2014,R,62.14,MN-3
2014,D,61.19,MN-4
2014,D,70.79,MN-5
2014,R,56.29,MN-6
2014,D,54.21,MN-7
2014,D,48.51,MN-8
2016,D,50.34,MN-1
2016,R,46.95,MN-2
2016,R,56.7,MN-3
2016,D,57.76,MN-4
2016,D,69.07,MN-5
2016,R,65.58,MN-6
2016,D,52.47,MN-7
2016,D,50.17,MN-8
2018,R,50.13,MN-1
2018,D,52.66,MN-2
2018,D,55.61,MN-3
2018,D,65.99,MN-4
2018,D,77.97,MN-5
2018,R,61.11,MN-6
2018,D,52.1,MN-7
2018,R,50.72,MN-8
2014,R,67.91,MS-1
2014,D,67.74,MS-2
2014,R,68.89,MS-3
2014,R,69.92,MS-4
2016,R,68.72,MS-1
2016,D,67.11,MS-2
2016,R,66.2,MS-3
2016,R,65.04,MS-4
2018,R,66.91,MS-1
2018,D,71.79,MS-2
2018,R,62.3,MS-3
2018,R,68.22,MS-4
2014,D,72.98,MO-1
2014,R,64.12,MO-2
2014,R,68.33,MO-3
2014,R,68.08,MO-4
2014,D,51.59,MO-5
2014,R,66.65,MO-6
2014,R,63.46,MO-7
2014,R,66.65,MO-8
2016,D,75.47,MO-1
2016,R,58.54,MO-2
2016,R,67.84,MO-3
2016,R,67.83,MO-4
2016,D,58.83,MO-5
2016,R,68.02,MO-6
2016,R,67.54,MO-7
2016,R,74.4,MO-8
2018,D,80.1,MO-1
2018,R,51.18,MO-2
2018,R,65.08,MO-3
2018,R,64.82,MO-4
2018,D,61.67,MO-5
2018,R,65.42,MO-6
2018,R,66.23,MO-7
2018,R,73.39,MO-8
2014,R,55.41,MT-0
2016,R,56.19,MT-0
2018,R,50.88,MT-0
2014,R,68.82,NE-1
2014,D,48.9,NE-2
2014,R,75.39,NE-3
2016,R,69.45,NE-1
2016,R,48.93,NE-2
2016,R,100.0,NE-3
2018,R,60.36,NE-1
2018,R,51.0,NE-2
2018,R,76.72,NE-3
2014,D,56.84,NV-1
2014,R,65.73,NV-2
2014,R,60.75,NV-3
2014,R,48.53,NV-4
2016,D,61.87,NV-1
