,state,district,year,total_pop,under_5,X5_to_9,X10_to_14,X15_to_19,X20_to_24,X25_to_34,X35_to_44,X45_to_54,X55_to_59,X60_to_64,X65_to_74,X75_to_84,X85_over,median_age,white_pct,black_pct,amer_ind,asian_pct,pac_isl_pct,hispanic_pct
922,CA,31,2014,738321,7,8.4,7.8,7.5,8.2,15.7,12.9,12.5,6.1,4.2,6,2.6,1.3,31.8,61.8,10.4,0.8,8.3,0.3,51.1
923,CA,32,2014,735945,6.4,6.2,6.6,7.3,8.2,13.8,13.7,13.2,6.1,5.6,7.6,3.8,1.6,36.1,45.3,3.3,0.6,18.3,0.2,62
924,CA,33,2014,714411,4.5,4.9,5.2,6.5,6,14.9,13.5,15.6,6.6,5.8,8.8,5.1,2.7,41.2,74.6,2.1,0.4,14,0.2,12.9
925,CA,34,2014,720406,6.3,6.1,6.2,6.2,8.1,17.5,15.8,12.8,5.4,4.8,5.9,3.5,1.5,34.7,42.7,4,0.5,20.6,0.2,64.8
926,CA,35,2014,732845,6.9,7.5,7.5,8.7,9.3,15.2,14,13.3,5.8,3.7,4.9,2.5,0.9,31.3,47.9,6.2,0.9,5.9,0.5,70.5
927,CA,36,2014,746522,6.4,7,7,6.7,6,12,11.7,12.4,5.4,5.9,10.5,6.2,2.8,38.9,68.2,4.2,1.1,3.6,0.1,49.1
928,CA,37,2014,723724,6.1,5.4,5.1,5.7,9,17.2,14.6,13.2,6,5.3,6.8,3.5,2.1,35.8,44.7,22.3,1.8,10.5,0.1,39.3
929,CA,38,2014,720208,6.5,6.3,6,7.1,8,14.2,13.5,13.4,6.4,5.2,7.2,4.4,1.8,36.3,49.5,3.6,0.6,15.2,0.3,63.1
930,CA,39,2014,716854,6.3,6.2,6.7,6.2,8,13.2,13.2,14.4,6.9,5.5,7.2,4.2,2,37.7,53.2,2.4,0.4,29.3,0.3,34.2
931,CA,40,2014,713940,8.3,8.6,7.8,7.9,8.3,15.2,14.2,12.5,5.3,4,4.5,2.4,1,30.6,54.2,4.9,0.7,3.1,0.3,86.9
932,CA,41,2014,739287,7.3,7.9,7.7,8.6,9.5,14.7,13.1,12,5.5,4.5,5.5,2.4,1.1,30.7,53,8.4,1,6.6,0.4,58.9
933,CA,42,2014,754191,6.6,7.3,7.8,7.8,7.1,13.6,13.6,14.2,5.9,4.8,6.6,3.4,1.3,34.9,67.3,6.4,0.7,8.1,0.3,37.5
934,CA,43,2014,731916,7.2,6.6,6.7,6.9,7.7,15.7,13.7,13.4,6.3,4.6,6.4,3.4,1.5,34.4,37.6,23.9,0.6,11.5,0.3,45.8
935,CA,44,2014,726147,7.8,7.8,7.5,8.3,9.1,15.9,12.6,13,5.3,4.2,5,2.5,1,30.6,45.3,15.8,0.8,5.9,0.6,70.5
936,CA,45,2014,763368,6.3,5.5,6.9,7.2,6.3,13.5,13.8,14.9,6.9,5.3,7.4,4.2,1.9,38.1,63.6,2,0.4,21.6,0.1,20
937,CA,46,2014,730783,7.7,7.1,7,8,8.9,16.5,14.1,12.8,5.1,4.1,5.2,2.5,1.1,31.6,60.5,1.4,0.4,13,0.2,66.8
938,CA,47,2014,718747,6,6.2,6.1,6.9,7.3,14.5,13.8,15,6.1,5.5,7,3.9,1.5,37.1,57,7.1,0.6,23.3,0.6,34.3
939,CA,48,2014,726491,4.8,5.5,5.7,5.2,6.7,14.4,12.9,15.2,7.7,5.9,9.3,4.6,2,41.1,65.2,1.1,0.5,18.3,0.4,21.4
940,CA,49,2014,728456,6.3,6.8,6.4,6.3,7.9,13.1,13.7,13.6,6.3,5.4,7.8,4.5,1.9,37.4,80,2.4,0.4,6.6,0.6,24.6
941,CA,50,2014,737332,6.5,7,6.5,6.8,7.1,13.4,12.4,13.9,6.4,6.1,8.1,4,1.8,37.2,77.6,2.8,0.9,5.9,0.7,31.2
942,CA,51,2014,720935,7.4,7.4,6.9,7.5,9.7,16,13,11.6,5.4,4.4,5.9,3.3,1.4,31.6,64.4,7,0.7,7.7,0.2,70.9
