,laborforce_unemployed,PercentCar,Management_business_science_and_arts,Service,Production_transportation_and_material_moving,Median_household_income,No_health_insurance,non_fam_household,diff_house_1year,foreign_born,ForeignCit,home_lang_not_english,own_computer,black_pct,hispanic_pct,Pct20t45,Pct45t65,Pct65plus,r200kplus,HighSchoolEd,BachelorsOrHigher
816,2.8,30.8,38.5,22.8,9.9,68072,9.7,30.9,7.9,51.7,30.0377,66.3,91.6,3.8,20.9,32.6,29.1,17.7,7.9,24.3,38.2
817,3.4,9.5,60.2,12.6,4.7,93766,4.9,51.0,12.6,31.2,16.4424,44.5,92.5,3.2,12.9,38.7,23.4,16.1,25.4,14.5,62.5
818,2.5,6.7,69.0,9.0,2.1,110569,3.7,62.3,16.7,26.5,13.1175,31.2,95.5,5.2,12.4,50.1,20.8,15.7,26.4,10.4,74.0
819,4.0,45.6,42.8,21.8,8.2,70740,5.6,36.9,8.9,30.2,18.8448,37.0,91.3,32.6,26.9,31.3,26.9,17.4,14.9,22.8,40.8
820,2.5,78.9,36.2,19.1,12.1,101171,3.8,25.6,5.9,17.4,10.8228,25.3,94.0,9.5,23.8,31.9,29.0,15.3,15.0,31.5,31.8
821,3.0,19.8,45.2,23.8,8.2,63759,5.9,39.6,7.9,39.1,25.805999999999997,32.9,89.2,47.6,11.2,38.2,23.9,15.0,8.9,25.6,39.8
822,2.9,74.7,40.0,20.2,10.0,82731,4.5,28.9,8.6,12.6,7.7742,20.9,92.7,9.9,17.8,30.5,28.4,15.3,14.1,26.0,36.3
823,2.4,80.7,34.6,21.5,14.0,56487,5.0,36.6,12.8,3.8,2.0254,6.1,89.2,3.2,3.5,31.0,28.2,18.0,3.9,35.2,24.9
824,2.6,79.3,37.1,21.4,13.8,54210,4.2,37.1,11.6,6.1,3.5989999999999998,9.4,89.9,4.3,3.9,30.0,27.0,18.7,3.2,33.6,25.5
825,3.3,80.9,45.5,16.8,11.3,59776,3.0,40.5,14.2,9.0,5.013,14.8,91.3,15.5,9.2,32.7,26.2,17.2,5.2,22.6,39.9
826,2.5,79.5,39.0,19.7,11.4,51292,3.5,44.0,12.9,9.2,4.9772,13.3,88.2,18.2,7.0,33.5,25.7,17.4,3.8,26.9,33.5
827,2.3,84.5,39.9,16.0,12.9,64499,2.8,35.0,9.4,3.5,2.289,4.5,91.2,2.3,2.7,28.3,30.3,19.3,5.6,30.2,31.6
828,6.6,79.6,31.8,20.2,16.9,33955,15.4,39.3,15.5,6.4,1.4144,9.6,73.8,53.5,8.3,33.1,26.0,15.3,1.3,31.9,19.6
829,4.5,81.9,38.2,17.0,14.1,50390,12.0,30.2,14.0,8.4,3.3012,13.1,83.8,16.9,10.9,33.8,24.8,13.4,3.8,25.8,29.9
830,5.9,79.2,32.2,20.3,11.2,46272,12.8,33.8,18.9,3.9,1.3689,7.6,84.8,19.0,7.9,36.5,23.5,14.5,2.1,27.7,22.9
831,4.4,77.8,42.2,19.2,8.1,47954,13.9,43.0,20.5,13.7,5.1649,18.7,90.3,29.8,11.9,41.0,22.2,10.7,5.2,18.7,41.0
832,5.6,84.5,34.1,18.3,16.3,44546,12.1,35.2,14.2,6.5,2.0865,10.3,82.6,12.9,8.8,31.2,27.6,16.2,2.6,29.0,26.0
833,4.1,84.9,37.1,16.0,13.3,48558,11.1,32.9,10.3,6.8,2.5228,8.8,82.2,15.7,7.2,30.2,29.2,16.6,3.4,28.6,28.4
834,4.5,81.4,33.3,17.9,13.3,44557,13.9,32.2,13.0,5.8,1.7864,8.9,81.9,17.4,9.1,29.8,27.8,17.2,3.0,28.3,23.7
835,6.2,84.8,30.1,17.7,17.2,42357,14.3,29.5,12.2,6.3,1.8081,10.3,77.7,19.2,9.3,31.9,26.1,15.0,1.7,32.8,18.3
836,4.6,81.2,48.8,12.7,7.4,73755,9.3,31.3,15.2,9.9,4.5936,13.0,93.2,12.6,8.5,33.2,26.9,11.9,10.6,16.3,49.3
837,5.0,83.6,31.6,16.8,18.5,42820,13.0,33.3,11.3,4.9,1.8032,7.3,80.2,11.9,5.9,30.4,27.9,17.1,2.1,29.4,23.4
838,3.9,82.3,29.7,21.1,15.7,40963,14.0,34.5,12.9,4.5,1.7280000000000002,6.4,78.0,3.7,5.9,28.6,28.1,21.2,1.5,28.7,23.9
839,7.6,75.9,29.9,21.2,16.8,38564,17.6,41.7,20.3,14.0,3.8360000000000003,19.8,80.9,51.1,13.7,39.9,22.6,9.5,1.6,27.4,24.6
840,3.9,81.7,44.6,13.7,9.9,64299,10.9,27.7,13.3,8.0,3.4560000000000004,11.2,91.2,17.7,8.5,31.8,27.7,12.9,6.8,21.9,40.5
841,4.4,78.9,35.1,19.4,14.9,40895,11.6,39.3,16.1,7.2,2.34,10.7,84.0,44.9,8.8,33.6,25.9,15.8,2.8,28.4,27.8
842,3.6,83.3,43.4,13.4,10.2,65792,8.1,26.8,13.1,7.2,3.2616,10.1,90.9,20.1,9.5,31.4,27.1,12.8,6.4,22.5,36.2
843,4.6,80.8,33.1,19.7,12.6,47565,10.8,33.4,18.4,3.9,1.7043,7.8,88.5,19.7,7.9,33.5,24.9,16.3,2.6,28.6,22.8
844,3.1,77.0,51.8,14.0,6.2,70587,8.4,39.0,19.9,15.4,6.6066,19.4,95.8,21.9,10.2,39.4,24.8,10.5,8.8,13.3,54.5
845,3.3,82.4,34.1,18.4,14.9,45001,11.2,33.6,12.7,6.2,2.4366,10.8,86.0,14.7,9.5,30.6,27.5,17.3,3.6,29.1,26.4
846,3.8,84.7,34.3,16.6,17.3,47335,11.0,32.1,11.7,7.1,2.3998,11.0,84.9,20.1,9.9,29.4,28.3,17.0,3.2,27.9,24.6
847,4.1,82.5,32.1,19.9,13.5,45002,12.5,36.1,14.4,5.7,1.8468,9.4,86.9,19.0,9.4,30.5,27.3,18.8,3.1,30.1,24.9
848,4.2,83.4,34.6,19.4,13.5,50570,9.1,33.1,15.3,6.2,2.8334,10.8,89.3,23.4,9.9,33.7,24.5,14.7,3.0,26.5,26.5
849,3.7,82.8,39.7,15.1,13.3,55913,8.9,28.6,12.2,7.2,3.2472,10.6,88.9,19.5,7.6,30.2,27.7,13.7,8.5,24.5,33.8
850,3.9,83.5,32.3,17.7,17.0,46508,9.9,34.4,14.8,4.7,2.0398,8.2,85.1,11.7,6.7,30.4,28.2,17.8,2.8,29.1,24.6
851,3.0,80.6,30.2,21.0,15.6,43855,11.6,35.0,13.1,4.1,1.4268,6.2,82.8,3.5,5.9,27.9,28.4,22.1,2.5,30.1,23.9
852,3.9,77.4,39.9,17.3,10.9,59268,12.3,39.9,18.8,16.3,5.9658,21.7,93.3,37.5,15.0,40.5,23.0,9.7,5.6,18.7,39.7
853,3.9,82.4,33.6,16.8,17.5,47440,10.3,35.8,15.9,8.1,3.2238,11.7,87.6,21.7,8.0,31.3,27.1,16.0,3.8,28.3,27.0
