,laborforce_unemployed,PercentCar,Management_business_science_and_arts,Service,Production_transportation_and_material_moving,Median_household_income,No_health_insurance,non_fam_household,diff_house_1year,foreign_born,ForeignCit,home_lang_not_english,own_computer,black_pct,hispanic_pct,Pct20t45,Pct45t65,Pct65plus,r200kplus,HighSchoolEd,BachelorsOrHigher
926,2.7,81.9,36.5,18.5,12.0,51422,14.9,37.9,19.6,10.2,3.2844,17.2,91.3,13.4,17.1,34.7,23.4,13.8,5.6,25.6,31.4
927,2.9,82.9,37.6,16.6,13.8,56454,13.3,35.1,17.4,7.8,2.847,13.2,93.0,8.8,11.7,33.2,24.3,15.0,5.9,26.7,30.4
928,2.3,82.7,36.2,17.3,13.1,56342,12.3,31.4,16.7,4.8,2.3280000000000003,9.0,92.1,6.6,9.3,34.7,23.8,14.9,3.5,32.2,25.4
929,4.5,72.6,42.2,17.3,10.1,62883,9.5,34.1,18.6,14.1,5.7669,20.4,92.7,1.6,14.3,35.1,26.1,13.1,5.3,20.7,38.0
930,4.4,75.2,31.5,20.9,13.5,44269,11.1,36.1,17.9,6.6,2.079,11.4,86.3,0.5,13.6,29.9,26.8,19.1,2.5,27.7,23.4
931,5.2,61.4,41.5,18.8,12.2,53293,9.6,42.5,18.4,13.5,6.0075,20.1,89.8,4.9,11.1,39.5,25.6,12.6,4.9,20.3,37.3
932,5.0,71.2,32.8,20.9,12.8,43696,8.9,39.4,18.8,5.0,1.935,7.5,88.0,0.8,7.2,31.2,27.3,19.2,2.2,27.2,25.9
933,4.9,73.5,35.5,17.7,12.3,53287,9.6,32.9,16.4,10.1,4.2117,17.6,88.1,1.1,16.2,31.3,26.4,16.2,4.1,25.8,28.7
934,2.9,73.5,44.2,15.5,10.5,72097,4.5,33.5,16.3,14.1,6.4437,20.2,94.0,1.5,14.5,35.1,25.8,14.2,8.4,19.4,41.0
935,4.0,76.8,30.9,20.9,13.2,49837,8.1,34.6,17.8,5.9,2.242,10.9,88.8,0.8,13.6,29.5,26.5,19.9,3.1,28.5,23.8
936,3.5,62.8,44.8,16.4,11.2,63231,6.4,42.4,17.5,13.2,6.2568,19.8,93.4,5.5,11.4,39.6,25.5,12.7,6.6,18.0,41.2
937,4.3,75.3,35.8,19.1,12.1,46749,6.5,38.5,20.7,5.1,1.9635,7.5,90.6,0.8,7.8,31.7,25.9,20.4,2.8,25.5,26.7
938,3.0,75.5,35.8,17.6,12.4,60395,5.8,34.0,16.2,9.5,4.275,17.3,91.7,1.1,16.4,31.3,26.0,17.1,5.5,23.7,30.0
939,2.9,63.2,45.0,16.3,12.2,71602,6.8,43.5,16.1,13.8,7.0518,20.5,95.2,5.0,11.6,40.1,24.9,13.5,8.5,18.6,41.6
940,3.6,76.3,34.7,21.2,13.1,56358,7.7,35.7,16.7,6.7,2.5393,11.9,93.3,0.7,14.2,29.7,26.0,20.9,4.3,25.1,26.0
941,2.7,72.6,44.7,14.8,12.0,78111,6.6,36.2,16.1,15.2,7.0832,21.4,95.8,2.2,14.9,35.3,25.4,14.8,9.6,19.0,42.6
942,3.5,72.8,35.6,20.3,12.9,52501,7.3,38.8,19.6,5.8,2.494,7.9,93.3,0.7,8.2,32.1,24.9,21.3,3.7,25.2,27.2
943,3.0,75.8,36.7,18.7,12.5,65506,7.0,32.1,15.2,9.8,4.0474,17.7,94.8,1.1,17.3,31.6,25.6,17.8,7.3,23.4,31.7
944,7.3,51.6,36.4,22.4,11.5,41704,13.5,45.2,12.6,13.3,6.0515,23.7,81.3,36.4,16.4,39.0,24.0,11.5,3.1,34.4,26.2
945,7.9,44.9,44.2,22.4,7.7,38136,10.2,49.3,14.6,8.2,3.7966,12.4,79.1,58.0,6.2,38.1,23.0,13.2,5.5,31.1,33.3
946,3.7,80.8,33.4,19.0,15.5,47498,8.3,34.5,11.5,2.8,1.4868,5.0,81.4,4.7,2.1,29.3,29.2,17.8,2.8,41.8,24.6
947,3.8,83.0,34.0,16.7,16.1,58161,7.2,32.2,13.7,5.0,2.37,8.4,84.1,7.8,6.9,31.4,28.3,16.0,3.4,39.6,25.8
948,3.5,79.3,34.0,19.1,17.1,46418,7.4,35.6,14.6,3.7,1.1285,5.1,81.8,2.5,2.0,31.8,27.7,17.3,2.1,43.6,23.0
949,3.7,80.9,45.2,13.8,10.6,74128,5.7,30.2,10.3,7.2,3.7512,10.2,89.2,4.7,6.0,30.5,28.6,15.6,10.0,27.8,42.6
950,3.7,78.3,43.6,15.3,8.4,78058,7.1,30.0,9.1,7.5,4.245,11.9,87.6,5.7,3.3,28.7,29.2,16.7,10.6,28.8,42.0
951,4.1,82.2,42.8,14.0,10.2,77735,5.2,29.7,8.4,8.2,5.0676,11.4,89.6,3.9,5.0,28.8,30.8,16.6,9.4,30.6,37.9
952,3.7,82.6,28.6,18.0,17.8,44107,9.6,34.8,11.1,1.6,0.6592,3.7,76.8,2.9,2.1,29.3,28.5,19.1,1.6,46.5,17.5
953,3.8,80.1,29.3,19.8,17.7,48233,10.1,33.1,11.4,2.9,1.8038,6.1,80.5,3.7,4.0,28.6,29.5,18.4,2.4,42.5,20.0
954,3.4,83.2,33.3,17.3,16.5,51849,8.2,34.9,12.2,4.7,2.5991,7.6,81.6,5.4,5.6,30.3,28.8,17.9,2.6,40.6,24.0
955,3.6,83.2,39.7,16.2,12.1,57323,5.4,32.1,9.7,2.8,1.6044,4.4,82.8,3.3,1.2,27.7,29.9,20.0,4.7,35.7,31.0
956,5.2,72.1,37.9,19.7,10.5,57051,10.4,34.5,11.4,17.4,9.6048,26.1,86.2,17.5,11.5,33.7,26.8,15.2,5.5,30.6,33.2
957,4.4,77.0,32.1,17.0,17.8,54817,12.8,30.5,11.6,8.3,3.4113,20.3,82.1,7.1,17.7,31.7,25.9,15.1,3.8,37.6,25.0
958,4.5,81.2,30.8,18.7,17.3,48356,8.9,35.6,11.4,5.7,3.4086,9.5,80.6,6.0,8.1,30.2,28.2,18.1,2.4,40.1,21.3
959,5.8,52.5,36.3,23.4,11.1,45025,9.5,44.6,13.7,14.0,6.593999999999999,24.3,86.0,35.5,18.0,39.1,23.9,11.2,3.9,33.5,27.4
960,5.1,46.7,46.1,21.0,8.0,41320,6.9,50.9,15.9,10.1,4.9591,13.2,84.1,56.4,5.8,38.9,23.4,14.0,6.2,27.0,36.7
961,3.1,83.5,35.4,17.0,16.4,61333,5.1,33.3,12.9,5.4,2.4948,8.4,87.5,8.0,7.0,30.7,28.1,17.0,4.0,37.6,26.8
962,3.2,77.1,34.2,20.7,15.8,48410,5.5,36.9,15.9,3.1,1.0106,5.4,86.1,2.8,2.0,31.1,27.3,18.0,3.1,43.5,25.1
963,3.2,81.6,46.7,14.2,10.2,82139,3.9,30.9,12.3,6.9,3.5466,10.6,91.8,4.1,5.9,30.1,29.1,15.7,11.2,27.7,43.2
964,3.4,77.0,46.9,13.5,8.5,85881,5.4,28.6,9.4,7.6,4.8868,12.1,90.8,5.8,3.8,28.4,28.9,17.9,13.1,27.7,43.4
965,2.4,82.5,42.9,14.3,11.1,80199,3.7,29.0,8.9,10.1,6.1913,12.8,91.8,3.5,5.3,28.6,30.6,17.8,10.8,29.8,39.7
966,3.8,82.5,29.9,19.2,17.4,47697,7.1,36.1,11.3,1.6,0.816,4.2,81.5,3.1,2.2,28.8,28.5,19.7,1.7,47.0,18.5
967,3.0,81.5,31.4,18.3,17.0,52199,5.8,33.5,11.3,3.1,1.9933,6.5,84.4,3.2,4.4,27.9,28.8,19.7,3.0,41.5,22.5
968,3.1,82.1,32.7,17.1,16.5,53833,4.7,35.4,12.3,4.6,2.3092,8.1,85.2,5.7,6.6,29.4,29.0,18.3,3.3,39.7,25.1
969,2.8,82.6,41.0,15.8,11.2,60387,3.7,33.3,9.9,3.0,1.7519999999999998,4.4,86.9,2.8,1.4,27.5,29.8,20.4,5.8,33.5,33.7
970,4.3,64.4,42.4,20.4,8.6,44939,4.8,51.6,16.2,5.4,2.2788,7.3,86.0,20.8,2.7,36.3,26.4,17.1,2.9,30.5,35.4
971,3.5,81.3,36.1,17.7,15.3,62755,5.7,31.8,14.4,7.7,4.7509,17.6,88.7,5.4,16.6,31.2,27.0,17.3,5.6,35.6,29.3
972,3.3,78.4,32.2,18.1,17.7,57144,8.7,31.8,12.4,7.3,3.2704,20.3,87.1,6.5,18.7,31.5,25.5,16.0,4.2,36.0,25.1
973,3.7,79.8,31.1,17.2,16.5,51635,5.2,36.2,12.1,5.9,3.4869,10.7,84.7,6.1,9.2,30.5,28.6,18.3,2.6,40.0,22.7
974,2.8,79.1,30.6,19.1,18.8,55443,5.1,36.7,11.5,7.8,4.1418,12.7,88.8,5.9,12.4,28.9,28.5,19.5,3.6,37.7,25.0
975,2.7,83.0,32.0,17.7,19.5,57572,5.4,33.8,11.3,3.1,1.8135,7.7,87.0,2.8,7.1,28.7,28.9,20.0,3.3,43.4,21.6
976,2.9,81.2,40.1,15.8,15.2,63748,4.8,36.5,13.8,6.7,3.7051,11.6,90.6,11.6,8.4,31.7,26.5,17.3,6.4,33.9,32.7
977,2.4,78.8,33.0,16.5,19.4,53244,7.2,35.3,13.6,3.0,1.182,7.0,87.3,2.1,2.5,30.5,26.4,19.1,2.9,43.0,23.4
978,2.6,81.1,29.4,17.5,19.9,53955,6.7,32.5,10.1,2.3,0.8786,4.9,86.3,2.9,3.3,28.2,28.5,20.7,3.0,45.0,19.8
979,2.7,82.7,44.0,14.5,11.3,88168,4.3,28.6,8.0,10.8,7.1172,14.6,93.7,4.0,5.8,29.0,30.0,18.5,14.0,28.2,41.6
980,5.4,41.3,48.8,20.5,9.5,49807,5.3,54.1,17.2,9.7,4.6269,12.4,88.1,55.4,5.4,42.2,22.0,13.8,6.8,27.5,41.2
981,4.5,60.2,31.0,24.4,15.3,42568,9.3,38.2,9.7,18.3,10.0467,35.9,87.9,27.0,26.1,35.2,24.3,13.4,2.7,38.5,21.5
982,3.6,67.6,42.2,18.7,10.8,67326,5.5,34.4,12.2,13.1,7.1002,14.8,92.2,25.4,4.7,33.0,25.8,16.1,11.0,29.8,37.8
983,3.6,79.6,35.3,16.3,18.5,64859,6.1,33.5,11.6,10.4,5.928,19.0,90.5,7.2,19.5,31.3,27.1,17.9,7.0,33.8,29.5
984,2.4,81.9,31.7,19.0,19.5,50166,4.9,35.0,10.0,1.5,0.6225,3.8,86.1,1.7,1.5,29.2,28.8,20.7,2.1,45.5,21.5
985,2.9,80.2,35.1,20.2,16.3,51536,4.8,36.9,13.2,2.8,1.4280000000000002,5.5,89.1,4.8,2.7,29.3,27.8,19.6,3.5,39.1,26.9
986,2.8,79.9,50.2,13.5,8.9,87168,3.4,31.1,10.4,10.3,5.9843,12.5,94.4,9.6,5.0,30.7,27.8,17.9,14.1,25.2,47.7
987,3.2,78.6,46.0,14.8,11.3,84628,5.5,29.2,13.7,10.8,4.8816,18.2,92.9,6.5,15.8,30.8,26.7,16.0,13.7,23.2,45.9
988,2.4,77.0,35.4,15.4,18.6,66863,10.8,30.1,10.3,5.0,2.72,15.2,88.7,3.9,9.4,29.9,26.3,18.5,5.1,35.7,27.1
989,2.6,83.3,35.4,16.8,15.8,59519,3.1,35.5,9.8,1.6,1.064,2.7,88.0,3.1,1.4,28.0,29.4,21.3,4.7,40.0,27.1
990,2.7,77.7,45.9,14.8,10.6,67064,2.9,36.4,11.4,4.8,2.8128,6.2,91.5,6.1,1.8,29.9,28.6,19.5,8.5,27.3,41.4
991,5.1,77.4,36.6,21.0,11.8,51860,7.8,38.0,12.8,15.6,7.5816,25.4,83.4,8.6,17.3,33.6,26.9,15.2,6.1,27.7,30.8
992,5.0,83.1,35.9,20.5,11.6,57924,7.0,36.5,12.3,11.1,6.2049,16.6,84.5,4.7,10.7,32.0,28.9,16.6,5.7,29.7,30.1
993,3.9,78.3,38.7,19.8,12.5,56547,4.8,39.8,15.0,17.4,9.1872,27.3,87.9,9.1,16.6,33.0,27.4,15.6,5.7,26.5,34.2
994,3.7,82.3,39.9,19.2,9.4,63976,3.9,39.0,11.7,10.6,6.2222,18.1,88.1,3.6,13.2,32.2,28.3,17.5,5.2,29.1,34.0
995,3.9,79.8,36.9,20.4,13.6,58556,4.6,41.1,11.3,16.8,10.0632,26.5,88.8,8.6,18.9,32.9,26.6,17.4,6.6,28.3,33.6
996,3.1,82.8,41.2,18.3,12.3,70988,3.6,37.1,9.9,9.5,5.89,17.0,90.6,4.7,12.9,32.3,27.9,17.2,7.4,28.5,35.1
997,3.6,82.4,39.6,18.6,9.3,60832,11.5,33.7,17.4,5.8,2.4882,8.1,90.8,18.4,6.5,33.6,25.7,16.3,6.2,23.3,37.5
998,3.9,82.3,37.7,17.9,11.5,54287,12.5,34.6,15.1,5.1,2.0196,7.1,85.4,23.2,5.4,33.0,27.0,14.1,3.4,26.3,33.3
999,4.7,85.6,30.7,17.6,20.2,40778,13.7,33.4,14.6,3.3,0.9933,5.0,76.8,18.4,4.3,30.8,26.7,17.3,1.6,33.7,20.4
1000,4.1,83.2,35.2,16.2,16.2,46442,13.4,32.7,13.3,7.0,2.905,10.8,82.5,19.5,8.3,33.1,26.1,14.6,3.5,28.5,29.4
1001,5.8,84.9,30.6,16.5,17.2,44361,12.8,32.3,11.6,3.6,1.4580000000000002,5.5,79.2,26.9,3.8,31.5,27.2,15.4,2.6,32.5,21.9
1002,6.5,76.4,25.5,22.8,14.9,32935,15.8,40.0,18.2,4.3,1.2298,6.4,73.7,56.7,4.8,35.4,24.8,14.2,1.2,33.6,19.3
1003,5.6,83.8,28.9,21.6,13.2,40729,15.5,33.3,14.4,3.9,1.3884,4.8,78.9,29.3,3.9,29.7,27.7,18.3,1.9,35.2,20.6
1004,2.7,81.4,40.4,16.8,9.3,64973,8.8,36.3,15.0,5.6,2.6208,7.6,93.2,18.2,6.5,33.4,25.3,17.1,6.6,21.5,39.8
1005,3.6,82.1,38.8,14.2,13.3,57253,8.1,31.7,15.4,4.8,1.8288,7.2,91.1,23.5,5.3,32.3,27.0,15.2,4.4,26.9,33.5
1006,3.4,83.8,29.9,17.7,19.5,45042,9.9,32.2,14.3,4.1,1.3489,5.5,84.9,18.0,4.8,30.7,26.4,17.7,2.5,31.0,22.0
1007,3.0,83.5,37.1,15.9,16.5,51718,10.7,34.6,17.3,7.2,2.988,11.0,87.5,18.9,8.4,32.7,25.9,15.7,4.4,25.3,30.7
1008,3.9,85.3,32.1,15.4,17.6,48743,8.8,32.3,11.3,3.3,1.3629,4.9,85.5,26.5,4.1,30.9,27.4,16.1,3.8,32.9,23.1
1009,5.1,78.5,27.3,22.0,16.9,35296,12.2,42.0,14.8,4.1,0.9840000000000001,6.2,81.2,57.2,5.1,34.9,23.9,15.4,1.5,34.1,19.6
1010,4.6,83.0,29.2,21.5,14.4,43146,11.6,34.7,12.8,4.3,2.0984,5.0,85.0,28.1,4.2,28.9,27.5,20.1,2.3,32.2,20.1
1011,2.1,81.1,42.4,18.2,9.8,70335,9.1,33.4,14.7,6.5,3.0745,8.8,95.3,19.0,6.7,32.8,25.4,18.2,8.7,23.1,41.0
1012,3.2,82.0,28.7,22.6,14.9,44192,12.3,36.0,10.6,4.0,2.016,4.8,87.0,27.8,4.4,28.0,27.0,21.9,3.1,35.4,21.4
1013,2.9,82.6,35.4,16.4,17.1,58602,11.4,34.3,14.7,8.4,3.0996,12.1,91.1,18.4,8.6,32.6,26.0,16.0,5.3,26.1,32.7
1014,3.0,82.2,33.7,16.3,19.2,52045,8.5,31.6,12.8,3.6,1.926,6.8,90.7,26.6,4.5,30.5,26.8,16.8,4.3,31.3,24.6
1015,3.2,82.2,33.1,16.1,20.5,48048,11.4,33.8,14.0,3.6,1.4184,5.2,86.9,18.2,5.3,30.3,26.5,18.8,3.1,31.5,22.9
1016,3.5,80.9,39.1,17.4,13.1,58495,8.9,33.6,15.2,4.9,2.4206,7.4,92.1,24.6,6.2,31.9,26.2,16.2,4.7,27.7,32.7
1017,4.2,78.7,26.1,22.2,16.9,38660,12.1,41.4,15.2,4.0,1.12,6.0,87.8,54.9,4.6,35.9,23.4,15.9,1.9,35.5,20.2
1018,2.7,79.2,36.4,16.4,12.3,50979,9.8,36.8,16.4,2.9,1.3311,5.7,82.7,1.7,3.4,31.7,25.5,15.1,3.1,30.6,27.8
1019,2.6,79.9,36.7,16.4,13.0,54467,8.7,37.1,15.2,3.6,1.278,6.5,87.6,1.7,3.7,31.2,25.3,15.9,3.7,29.0,28.8
1020,2.0,81.1,35.3,19.1,14.3,56274,9.8,36.4,14.6,4.0,1.444,6.8,89.7,2.2,3.9,31.8,24.4,16.6,3.8,31.0,29.2
1021,4.6,84.5,29.5,19.1,16.9,37298,12.9,34.8,13.6,2.6,0.9594,3.9,77.3,2.2,3.5,29.8,28.4,18.8,1.9,37.7,19.9
1022,4.2,82.5,36.3,17.4,12.4,45474,10.7,35.2,15.3,4.5,1.8135,5.6,82.3,6.6,3.8,32.9,26.5,16.7,3.7,31.4,29.4
1023,4.7,83.1,33.3,16.6,16.5,43701,11.2,34.9,13.4,3.4,1.5776,4.3,78.3,11.2,3.5,31.1,28.3,17.0,2.3,34.0,23.1
1024,4.7,84.0,29.7,15.8,20.2,45739,11.9,31.1,15.8,4.9,1.2838,7.0,81.3,8.1,5.8,33.6,25.4,14.3,2.0,35.4,21.2
1025,4.5,79.1,38.2,17.7,11.8,47842,14.8,41.9,17.9,11.6,3.77,15.9,86.1,24.9,9.1,39.4,24.5,11.4,4.2,25.5,34.9
1026,4.2,85.4,30.0,15.9,18.2,45975,10.8,29.3,13.7,3.3,1.2969,4.9,80.4,4.4,3.7,30.4,27.3,17.2,2.5,37.7,20.4
1027,4.7,83.8,36.5,16.2,14.6,49336,10.6,26.6,14.5,4.2,1.9614,6.0,81.2,10.5,4.9,32.3,26.2,14.0,5.7,32.9,26.9
1028,4.2,87.8,36.9,15.9,15.7,52532,8.6,29.0,12.3,3.2,1.5648,5.1,83.6,19.4,3.3,29.9,27.4,15.9,5.3,32.8,29.3
1029,6.8,81.4,28.0,20.9,18.9,35043,16.8,41.0,19.7,6.3,1.6380000000000001,10.0,76.7,65.7,6.6,36.8,24.6,10.7,1.7,32.3,22.2
1030,3.2,85.2,30.1,19.8,16.5,41006,9.6,34.7,12.5,2.7,0.8316,3.9,82.7,2.0,3.8,29.4,28.3,19.6,2.2,38.6,19.5
1031,2.8,83.6,36.0,17.5,12.8,50701,8.1,36.9,14.9,4.2,1.4994,5.1,88.2,6.3,4.0,32.2,26.9,17.4,3.9,28.3,31.0
1032,3.1,84.4,33.5,16.7,17.4,43938,7.9,36.9,12.9,3.4,1.4722,4.6,83.0,10.9,3.6,30.8,27.9,18.0,3.2,34.7,22.7
1033,3.2,84.8,30.7,15.9,19.2,50598,9.0,31.6,13.5,4.8,2.0112,7.6,87.2,9.2,6.2,33.8,25.5,14.5,3.0,35.5,22.6
1034,2.9,78.9,40.5,16.2,11.3,54470,11.0,43.3,16.2,11.2,3.3376,15.2,90.7,24.9,9.4,39.9,24.2,11.9,5.3,24.2,37.5
1035,2.6,84.7,33.2,14.5,17.7,50731,7.9,29.4,13.0,3.2,1.36,4.5,85.1,4.5,4.3,29.8,27.1,17.6,3.0,36.1,21.9
1036,3.5,84.5,36.6,16.0,16.2,53276,8.2,26.9,12.6,4.1,1.7958,6.9,86.3,9.8,5.3,32.0,26.1,14.4,6.1,31.5,28.1
1037,3.5,86.5,37.6,15.7,14.7,54145,6.9,27.3,11.8,3.6,1.8252,4.9,85.4,19.5,2.9,29.5,27.7,17.2,5.9,33.2,27.6
1038,5.4,80.5,29.8,20.0,17.4,39761,12.9,43.5,17.6,5.9,1.7582,10.1,80.1,66.1,7.4,36.4,24.3,11.2,2.0,29.1,24.1
1039,3.0,82.0,40.1,15.3,15.2,58614,7.7,28.4,13.6,4.1,2.2017,6.1,90.4,10.4,5.2,32.0,25.7,14.8,7.2,30.5,32.2
1040,3.1,85.3,32.2,19.6,16.5,43606,10.4,34.6,12.4,2.9,0.7946,4.4,87.3,2.2,3.9,29.0,28.2,20.6,2.5,36.6,20.5
1041,4.2,82.4,34.6,17.2,16.0,51610,10.8,35.7,15.4,3.4,1.3804,5.0,88.7,10.6,4.3,30.6,27.5,18.7,4.3,31.1,23.8
1042,2.5,79.3,42.0,16.9,11.6,60611,12.3,42.6,19.2,12.6,5.166,16.7,93.6,24.6,9.7,39.9,23.7,12.4,6.5,24.3,39.7
1043,6.1,83.7,28.8,21.1,22.3,38077,15.2,44.4,13.7,5.9,1.5930000000000002,9.0,81.5,67.3,7.0,36.0,24.2,12.4,2.7,32.4,25.0
1044,2.4,84.0,33.8,15.1,18.7,57059,8.8,29.9,13.7,3.7,1.4467,5.3,89.8,4.6,4.5,30.0,27.1,17.6,4.2,36.5,23.3
1045,3.0,85.6,38.2,15.5,17.2,55945,8.1,27.9,12.1,4.2,2.0328,5.7,90.6,18.9,3.8,29.1,27.3,17.9,6.2,31.3,28.8
1046,3.5,82.3,30.9,17.6,20.4,53919,9.9,31.5,14.0,5.2,1.9968,8.5,90.5,9.6,6.6,33.1,26.2,14.8,3.0,34.3,22.6
1047,2.7,84.7,39.3,16.0,13.0,54284,8.1,33.9,14.4,4.0,1.8840000000000001,4.9,90.3,6.2,4.3,32.4,26.4,17.9,4.7,29.5,31.1
1048,3.9,82.6,30.1,18.4,15.9,44168,20.0,31.5,16.7,7.7,2.1098,15.4,81.0,18.6,16.8,31.5,24.5,16.0,2.6,30.9,20.4
1049,3.2,81.8,45.0,14.6,9.7,72369,16.2,32.6,15.1,21.5,8.1915,33.3,91.9,9.6,30.7,37.4,26.4,10.0,10.2,19.5,39.5
1050,3.6,81.3,54.3,13.1,4.9,86846,10.9,26.9,13.7,20.4,10.097999999999999,27.5,96.2,9.1,14.7,35.3,25.8,9.6,12.6,13.8,52.3
1051,4.1,79.6,29.9,19.2,14.1,45949,21.8,28.6,16.1,14.2,3.8198,26.3,82.0,15.7,27.6,33.1,24.7,12.9,2.6,30.6,20.0
1052,3.7,83.1,36.8,16.1,13.9,61209,15.0,28.0,15.0,12.6,5.5692,21.5,91.2,19.6,22.6,34.5,25.4,10.4,4.2,25.4,28.8
1053,2.8,79.8,46.5,14.6,8.9,71321,16.7,36.1,15.7,28.9,10.8086,41.2,89.7,13.3,31.4,38.4,24.0,9.7,14.6,16.5,47.3
1054,2.6,82.2,36.1,18.4,10.1,62743,14.1,28.2,15.9,11.3,4.0680000000000005,19.0,87.7,8.0,20.9,33.2,26.0,12.6,9.0,25.7,29.9
1055,5.9,76.0,27.6,23.7,12.7,42661,26.6,34.3,15.0,34.8,11.5188,52.3,83.7,38.5,37.7,39.5,22.7,8.8,2.2,24.4,24.6
1056,3.2,79.7,42.7,15.5,9.1,66236,13.7,32.3,15.1,16.0,6.32,27.1,90.0,9.8,27.8,33.9,25.3,11.6,8.6,23.1,37.8
1057,2.6,82.7,30.9,14.7,14.8,51266,19.8,32.9,14.4,9.1,3.3215,27.0,81.6,3.8,37.5,33.3,24.2,15.3,5.7,31.1,20.4
1058,3.8,84.4,36.9,15.7,12.5,60846,15.3,33.7,17.7,10.3,4.2436,20.3,89.5,9.0,22.6,35.2,24.6,12.4,5.3,25.7,29.7
1059,2.8,81.3,30.8,19.0,14.3,48594,17.2,31.9,16.0,8.8,2.2,19.6,81.5,5.4,26.4,33.2,25.0,14.2,2.7,29.6,19.8
1060,3.6,84.3,33.7,18.6,12.5,51585,18.7,32.4,14.7,10.9,4.2183,22.2,81.2,20.0,23.8,33.3,26.8,13.1,4.5,29.8,22.3
1061,4.9,80.6,29.0,21.3,11.5,40614,28.3,18.9,10.5,22.3,6.2663,71.8,78.4,1.9,81.4,34.7,19.6,10.6,2.1,25.3,19.7
1062,4.3,80.9,31.1,21.0,11.8,41347,21.9,26.8,13.0,24.6,10.7256,70.2,78.2,4.3,79.2,36.0,21.8,11.4,2.3,24.8,23.0
1063,3.0,79.3,35.7,18.1,11.7,48600,16.2,38.7,20.4,12.0,3.7680000000000002,22.0,85.4,13.3,24.6,38.8,22.0,11.2,2.9,26.2,28.5
1064,4.7,78.2,28.7,20.4,14.6,42166,23.9,38.2,17.5,21.1,6.1823,40.4,79.0,39.3,41.2,39.3,21.5,8.8,4.2,27.9,21.6
1065,3.0,80.0,31.0,18.7,12.3,45428,17.7,32.2,22.8,8.4,2.5956,26.3,84.7,6.2,35.6,35.3,22.5,13.2,3.3,29.2,21.4
1066,4.9,80.7,31.8,22.3,10.1,46345,17.9,33.0,18.1,14.5,5.132999999999999,47.9,83.1,5.5,68.8,38.8,21.4,10.2,2.0,25.6,22.9
1067,3.3,79.6,47.4,15.1,6.4,60971,12.5,41.9,20.2,9.3,3.906,22.4,90.5,3.2,30.1,35.8,25.7,15.2,7.1,18.9,44.7
1068,2.6,83.6,51.5,11.0,9.4,89689,11.8,21.2,12.8,23.3,12.8383,36.0,94.5,13.6,24.5,34.4,25.2,9.7,14.1,17.9,44.6
1069,4.2,79.1,30.0,18.9,13.3,51528,19.2,23.8,13.6,16.8,6.5352,53.8,80.7,3.4,67.7,33.3,22.4,12.4,5.1,25.7,21.3
1070,3.7,81.7,43.6,14.3,10.1,63409,18.5,36.9,20.3,22.6,8.3846,34.4,94.3,11.0,24.2,37.9,26.1,10.1,10.2,18.0,43.6
1071,3.7,76.2,44.0,15.5,9.5,61319,13.6,30.2,17.2,8.4,3.6792,17.2,89.9,7.1,18.3,35.0,25.1,12.5,7.3,21.7,35.3
1072,3.5,82.4,45.4,13.5,8.3,78796,12.4,25.4,18.7,12.1,4.9126,19.0,95.2,6.4,17.8,35.9,24.9,9.2,8.8,20.5,40.9
1073,4.1,82.4,29.3,19.0,14.9,50656,18.1,30.4,16.1,8.0,2.84,33.4,81.6,5.4,51.5,33.0,25.1,14.3,3.2,30.2,19.2
1074,4.2,78.4,26.9,21.7,13.2,43999,25.7,21.8,12.1,21.3,6.2196,68.6,79.1,4.1,76.9,33.5,21.5,10.7,2.2,27.9,16.6
1075,5.0,75.7,17.7,20.1,20.4,39580,32.3,26.4,14.6,33.4,8.2498,68.0,75.8,11.4,77.0,38.5,20.4,7.8,1.1,27.9,9.1
1076,5.1,79.3,27.1,20.3,15.4,40536,22.5,33.4,14.5,17.6,4.9632,37.4,75.7,43.1,39.0,35.8,23.7,9.2,2.0,28.0,18.4
1077,3.7,79.3,40.7,15.5,9.2,62772,11.8,29.0,19.2,10.7,4.815,20.3,90.9,11.3,23.8,36.7,22.8,11.1,5.5,23.2,34.0
1078,4.2,79.6,43.0,16.1,8.8,65082,16.9,37.3,17.6,21.2,8.3104,32.7,91.8,12.2,25.8,36.9,25.5,11.8,10.2,17.9,42.7
1079,5.7,73.7,15.0,23.5,21.7,35311,33.1,27.9,14.4,31.9,6.1886,62.3,74.0,17.1,63.2,37.9,20.2,7.6,0.5,28.5,9.0
1080,4.3,83.0,26.7,24.3,12.4,35451,29.3,22.7,10.2,21.3,6.5391,69.4,68.4,1.3,83.8,32.4,21.4,13.3,1.6,26.5,15.5
1081,4.4,74.9,27.4,24.4,12.8,40856,23.9,37.8,17.9,17.0,3.8930000000000002,45.1,80.1,10.3,60.9,40.0,21.5,8.8,1.7,28.1,18.3
1082,3.6,85.0,31.0,16.0,14.4,54560,18.0,31.2,13.9,10.1,3.4946,20.0,82.7,9.1,24.2,32.0,26.2,13.4,3.9,32.8,18.8
1083,3.0,83.9,36.4,15.6,14.4,65758,13.3,26.0,15.0,13.5,6.047999999999999,23.3,94.2,20.3,22.2,34.3,25.5,11.8,5.3,25.1,28.8
1084,3.4,80.5,48.8,14.7,8.0,71183,14.6,36.8,13.8,29.4,10.9074,40.9,94.0,12.8,31.9,37.8,24.3,10.8,13.9,15.5,50.7
