,State,District,Representative ,Obama 12,Romney 12,Land area (square miles),StateAB
1038,LA,6,Bill Cassidy,32.0,66.1,"4,033.89",LA
1039,LA,1,Steve Scalise,26.9,70.9,"4,030.23",LA
1040,FL,1,Jeff Miller,30.2,68.7,"4,016.30",FL
1041,MD,1,Andy Harris,37.8,60.3,"3,977.06",MD
1042,NY,27,Chris Collins,42.9,55.3,"3,973.13",NY
1043,IN,2,Jackie Walorski,42.1,56.1,"3,958.58",IN
1044,OH,7,Bob Gibbs,44.2,53.7,"3,864.76",OH
1045,PA,3,Mike Kelly,43.0,55.6,"3,850.80",PA
1046,GA,3,Lynn Westmoreland,33.0,65.9,"3,838.27",GA
1047,VA,1,Rob Wittman,45.6,53.0,"3,684.32",VA
1048,AL,5,Mo Brooks,34.9,63.9,"3,677.31",AL
1049,NC,6,Howard Coble,41.3,57.7,"3,674.55",NC
1050,GA,14,Tom Graves,25.3,73.2,"3,623.16",GA
1051,NC,5,Virginia Foxx,39.8,59.1,"3,571.86",NC
1052,MI,6,Fred Upton,48.8,50.2,"3,546.74",MI
1053,PA,11,Lou Barletta,44.5,53.9,"3,356.48",PA
1054,ME,1,Chellie Pingree,59.6,38.2,"3,285.52",ME
1055,MI,2,Bill Huizenga,43.1,56.0,"3,281.19",MI
1056,NC,2,Renee Ellmers,41.7,57.3,"3,246.68",NC
1057,FL,25,Mario Diaz-Balart,48.7,50.8,"3,232.71",FL
1058,OH,2,Brad Wenstrup,43.7,54.7,"3,221.62",OH
1059,SC,2,Joe Wilson,39.4,59.1,"3,022.17",SC
1060,OR,1,Suzanne Bonamici,57.3,40.0,"3,007.00",OR
1061,MN,6,Michele Bachmann,41.5,56.5,"2,882.22",MN
1062,NV,3,Joe Heck,49.5,48.7,"2,848.99",NV
1063,CA,16,Jim Costa,58.6,39.4,"2,839.51",CA
1064,CA,50,Duncan D. Hunter,37.6,60.4,"2,787.35",CA
1065,VA,7,Eric Cantor,41.7,56.9,"2,776.39",VA
1066,MI,3,Justin Amash,45.8,53.1,"2,628.74",MI
1067,NC,10,Patrick McHenry,40.9,58.0,"2,575.16",NC
1068,UT,4,Jim Matheson,30.2,67.2,"2,550.35",UT
1069,FL,11,Richard Nugent,40.2,58.8,"2,509.88",FL
1070,FL,6,Ron DeSantis,41.4,57.7,"2,506.92",FL
1071,NH,1,Carol Shea-Porter,50.2,48.6,"2,463.65",NH
1072,OH,8,John Boehner,36.4,61.9,"2,450.49",OH
1073,TX,14,Randy Weber,39.5,59.3,"2,441.39",TX
1074,MN,2,John Kline,49.1,49.0,"2,437.91",MN
1075,FL,20,Alcee Hastings,82.6,17.0,"2,427.42",FL
1076,MO,5,Emanuel Cleaver,58.9,39.4,"2,424.85",MO
1077,NY,24,Daniel Maffei,57.0,41.1,"2,388.56",NY
1078,MA,1,Richard Neal,64.0,34.3,"2,350.29",MA
1079,MI,5,Daniel Kildee,60.7,38.3,"2,348.70",MI
1080,TN,2,John Duncan,30.9,67.3,"2,320.68",TN
1081,NC,13,George Holding,43.7,55.3,"2,280.59",NC
1082,OH,12,Pat Tiberi,43.9,54.4,"2,271.91",OH
1083,PA,12,Keith Rothfus,40.9,57.8,"2,163.03",PA
1084,TX,31,John Carter,38.3,59.6,"2,154.49",TX
1085,TX,6,Joe Barton,40.8,57.9,"2,148.41",TX
1086,FL,26,Joe Garcia,53.1,46.4,"2,098.66",FL
1087,NJ,2,Frank LoBiondo,53.5,45.4,"2,092.43",NJ
1088,OK,5,James Lankford,40.8,59.2,"2,073.90",OK
1089,PA,18,Tim Murphy,41.0,57.9,"2,072.79",PA
1090,CT,2,Joe Courtney,55.9,42.6,"1,987.68",CT
1091,OH,14,David Joyce,47.6,50.9,"1,953.14",OH
1092,MD,6,John Delaney,55.4,42.6,"1,950.26",MD
1093,DE,0,John Carney,58.6,40.0,"1,948.54",DE
1094,IN,5,Susan Brooks,40.7,57.5,"1,924.76",IN
