,State,District,Representative ,Obama 12,Romney 12,Land area (square miles),StateAB
51,CA,4,Tom McClintock,39.5,57.9,"12,836.20",CA
52,MS,3,Gregg Harper,39.1,60.0,"12,754.48",MS
53,LA,4,John Fleming,39.7,59.0,"12,435.10",LA
54,IA,2,Dave Loebsack,55.8,42.7,"12,261.92",IA
55,KY,1,Ed Whitfield,32.1,66.4,"12,079.50",KY
56,IA,1,Bruce Braley,56.2,42.5,"12,048.84",IA
57,MN,1,Tim Walz,49.6,48.2,"11,973.99",MN
58,KY,5,Hal Rogers,23.2,75.0,"11,235.15",KY
59,WI,3,Ron Kind,54.8,43.8,"11,111.79",WI
60,PA,5,Glenn Thompson,41.5,57.1,"10,711.21",PA
61,MS,1,Alan Nunnelee,37.0,61.9,"10,572.80",MS
62,IL,18,Aaron Schock,37.4,60.7,"10,515.95",IL
63,AL,7,Terri Sewell,72.4,27.1,"10,156.13",AL
64,AL,2,Martha Roby,36.4,62.9,"10,141.63",AL
65,TX,4,Ralph Hall,24.8,74.0,"10,122.99",TX
66,VA,5,Robert Hurt,45.9,52.5,"10,029.79",VA
67,CA,23,Kevin McCarthy,36.1,61.5,"9,898.00",CA
68,OK,4,Tom Cole,32.9,67.1,"9,777.28",OK
69,WV,3,Nick Rahall,32.8,65.0,"9,745.33",WV
70,GA,2,Sanford Bishop,58.6,40.8,"9,626.23",GA
71,TX,28,Henry Cuellar,60.3,38.7,"9,378.53",TX
72,VT,0,Peter Welch,67.0,31.2,"9,216.66",VT
73,TN,7,Marsha Blackburn,32.9,65.7,"9,160.44",TN
74,TX,27,Blake Farenthold,38.2,60.5,"9,128.25",TX
75,WA,3,Jaime Beutler,47.9,49.6,"9,114.01",WA
76,VA,9,Morgan Griffith,34.9,63.1,"9,113.87",VA
77,AL,4,Robert Aderholt,24.0,74.8,"8,888.77",AL
78,NE,1,Jeff Fortenberry,40.8,57.4,"8,879.02",NE
79,IA,3,Tom Latham,51.4,47.2,"8,789.62",IA
80,GA,8,Austin Scott,37.5,61.6,"8,711.64",GA
81,FL,2,Steve Southerland,46.5,52.3,"8,613.58",FL
82,MI,4,Dave Camp,45.5,53.5,"8,457.80",MI
83,PA,10,Thomas Marino,38.4,60.1,"8,378.06",PA
84,TX,34,Filemon Vela,60.8,38.3,"8,190.32",TX
85,GA,12,John Barrow,43.6,55.4,"8,185.27",GA
86,SC,6,Jim Clyburn,70.9,28.1,"8,062.93",SC
87,MS,4,Steven Palazzo,31.2,67.6,"8,044.48",MS
88,WV,2,Shelley Capito,38.0,60.0,"8,017.31",WV
89,GA,1,Jack Kingston,43.0,55.9,"7,982.81",GA
90,NY,19,Chris Gibson,52.1,45.9,"7,937.02",NY
91,IL,16,Adam Kinzinger,45.2,52.9,"7,917.49",IL
92,TX,1,Louie Gohmert,27.5,71.6,"7,858.86",TX
93,AZ,2,Ron Barber,48.4,49.9,"7,838.12",AZ
94,NC,3,Walter Jones,41.0,58.0,"7,810.08",NC
95,TX,15,Ruben Hinojosa,57.4,41.5,"7,804.07",TX
96,TX,17,Bill Flores,37.7,60.4,"7,651.16",TX
97,TX,25,Roger Williams,37.8,59.9,"7,620.70",TX
98,AL,3,Mike Rogers,36.8,62.3,"7,543.86",AL
99,CO,2,Jared Polis,57.9,39.5,"7,535.34",CO
100,NY,23,Thomas Reed,48.4,49.6,"7,371.65",NY
101,WA,8,Dave Reichert,49.7,48.1,"7,359.70",WA
102,FL,3,Ted Yoho,37.4,61.5,"7,306.05",FL
103,CO,5,Doug Lamborn,38.3,59.1,"7,265.72",CO
104,IN,8,Larry Bucshon,39.6,58.4,"7,255.39",IN
105,OH,6,Bill Johnson,42.7,55.2,"7,215.03",OH
106,KY,2,Brett Guthrie,35.1,63.3,"7,177.44",KY
107,TX,36,Steve Stockman,25.7,73.2,"7,125.83",TX
108,GA,10,Paul Broun,36.3,62.5,"7,096.22",GA
109,LA,3,Charles Boustany,32.3,66.1,"6,983.32",LA
110,IL,17,Cheri Bustos,57.6,40.6,"6,933.08",IL
111,WA,6,Derek Kilmer,56.1,41.2,"6,902.73",WA
112,CA,24,Lois Capps,54.1,43.1,"6,883.35",CA
113,MO,3,Blaine Luetkemeyer,36.1,62.0,"6,851.54",MO
114,TN,8,Stephen Fincher,32.8,66.1,"6,850.53",TN
115,NC,11,Mark Meadows,37.8,60.9,"6,838.24",NC
116,WI,8,Reid Ribble,47.6,51.3,"6,806.67",WI
117,CA,21,David Valadao,54.6,43.5,"6,729.94",CA
118,NH,2,Ann Kuster,54.2,44.5,"6,489.00",NH
119,TN,6,Diane Black,29.5,69.1,"6,474.21",TN
120,FL,17,Tom Rooney,41.2,57.9,"6,369.97",FL
121,IN,4,Todd Rokita,36.9,60.9,"6,352.55",IN
122,WV,1,David McKinley,35.5,62.2,"6,275.56",WV
123,MO,7,Billy Long,30.3,67.6,"6,272.84",MO
124,HI,2,Tulsi Gabbard,71.4,26.7,"6,213.40",HI
125,IN,6,Luke Messer,37.3,60.4,"6,206.83",IN
126,WA,1,Suzan DelBene,54.1,43.3,"6,186.47",WA
127,CA,3,John Garamendi,54.3,43.1,"6,183.59",CA
128,NC,7,Mike McIntyre,39.9,59.2,"6,161.77",NC
129,AL,1,Jo Bonner,37.4,61.8,"6,066.83",AL
130,TX,8,Kevin Brady,21.7,77.0,"6,053.76",TX
131,TN,4,Scott DesJarlais,33.1,65.3,"5,984.84",TN
132,VA,6,Bob Goodlatte,39.5,58.8,"5,930.02",VA
133,TX,21,Lamar Smith,37.9,59.8,"5,920.89",TX
134,CA,36,Raul Ruiz,50.7,47.5,"5,912.64",CA
135,IL,13,Rodney Davis,48.6,48.9,"5,793.65",IL
136,PA,9,Bill Shuster,35.9,62.8,"5,730.09",PA
137,OH,5,Bob Latta,44.1,53.9,"5,626.47",OH
138,SC,5,Mick Mulvaney,43.6,55.1,"5,505.54",SC
139,NC,1,G.K. Butterfield,71.2,28.2,"5,494.28",NC
140,AR,3,Steve Womack,31.6,65.5,"5,400.99",AR
141,SC,7,Tom Rice,44.4,54.5,"5,354.62",SC
142,SC,3,Jeff Duncan,33.9,64.5,"5,268.28",SC
143,GA,9,Doug Collins,20.5,78.1,"5,210.81",GA
144,OR,5,Kurt Schrader,50.5,47.1,"5,189.73",OR
145,NY,22,Richard Hanna,48.8,49.2,"5,077.45",NY
146,TX,10,Michael McCaul,38.8,59.1,"5,070.95",TX
147,TX,5,Jeb Hensarling,34.4,64.5,"5,043.85",TX
148,IL,12,William Enyart,49.7,48.2,"5,008.21",IL
149,AR,2,Tim Griffin,42.9,54.7,"4,978.12",AR
150,WI,6,Tom Petri,45.8,53.1,"4,918.39",WI
151,CA,20,Sam Farr,70.9,26.2,"4,874.22",CA
152,CA,51,Juan Vargas,69.4,28.9,"4,791.61",CA
153,OH,15,Steve Stivers,46.3,51.9,"4,738.93",OH
154,OH,4,Jim Jordan,42.0,56.0,"4,664.87",OH
155,NM,1,Michelle Grisham,55.3,39.6,"4,600.14",NM
156,TN,3,Chuck Fleischmann,35.1,63.3,"4,570.32",TN
157,WI,2,Mark Pocan,68.3,30.5,"4,536.69",WI
158,NC,8,Richard Hudson,41.0,58.1,"4,512.78",NC
159,IN,9,Todd Young,40.7,57.2,"4,486.77",IN
160,KY,4,Thomas Massie,34.8,63.4,"4,382.19",KY
161,VA,4,Randy Forbes,48.8,50.1,"4,310.34",VA
162,KY,6,Andy Barr,42.2,55.8,"4,292.72",KY
163,MI,7,Tim Walberg,47.9,51.0,"4,227.73",MI
164,IN,3,Marlin Stutzman,35.7,62.5,"4,180.37",IN
165,AL,6,Spencer Bachus,24.7,74.3,"4,170.78",AL
166,TN,1,Phil Roe,25.7,72.7,"4,141.92",TN
167,MI,10,Candice Miller,43.7,55.3,"4,140.44",MI
168,LA,6,Bill Cassidy,32.0,66.1,"4,033.89",LA
169,LA,1,Steve Scalise,26.9,70.9,"4,030.23",LA
170,FL,1,Jeff Miller,30.2,68.7,"4,016.30",FL
171,MD,1,Andy Harris,37.8,60.3,"3,977.06",MD
172,NY,27,Chris Collins,42.9,55.3,"3,973.13",NY
173,IN,2,Jackie Walorski,42.1,56.1,"3,958.58",IN
174,OH,7,Bob Gibbs,44.2,53.7,"3,864.76",OH
175,PA,3,Mike Kelly,43.0,55.6,"3,850.80",PA
176,GA,3,Lynn Westmoreland,33.0,65.9,"3,838.27",GA
177,VA,1,Rob Wittman,45.6,53.0,"3,684.32",VA
178,AL,5,Mo Brooks,34.9,63.9,"3,677.31",AL
179,NC,6,Howard Coble,41.3,57.7,"3,674.55",NC
180,GA,14,Tom Graves,25.3,73.2,"3,623.16",GA
181,NC,5,Virginia Foxx,39.8,59.1,"3,571.86",NC
182,MI,6,Fred Upton,48.8,50.2,"3,546.74",MI
183,PA,11,Lou Barletta,44.5,53.9,"3,356.48",PA
184,ME,1,Chellie Pingree,59.6,38.2,"3,285.52",ME
185,MI,2,Bill Huizenga,43.1,56.0,"3,281.19",MI
186,NC,2,Renee Ellmers,41.7,57.3,"3,246.68",NC
187,FL,25,Mario Diaz-Balart,48.7,50.8,"3,232.71",FL
188,OH,2,Brad Wenstrup,43.7,54.7,"3,221.62",OH
189,SC,2,Joe Wilson,39.4,59.1,"3,022.17",SC
190,OR,1,Suzanne Bonamici,57.3,40.0,"3,007.00",OR
191,MN,6,Michele Bachmann,41.5,56.5,"2,882.22",MN
192,NV,3,Joe Heck,49.5,48.7,"2,848.99",NV
193,CA,16,Jim Costa,58.6,39.4,"2,839.51",CA
194,CA,50,Duncan D. Hunter,37.6,60.4,"2,787.35",CA
195,VA,7,Eric Cantor,41.7,56.9,"2,776.39",VA
196,MI,3,Justin Amash,45.8,53.1,"2,628.74",MI
197,NC,10,Patrick McHenry,40.9,58.0,"2,575.16",NC
198,UT,4,Jim Matheson,30.2,67.2,"2,550.35",UT
199,FL,11,Richard Nugent,40.2,58.8,"2,509.88",FL
200,FL,6,Ron DeSantis,41.4,57.7,"2,506.92",FL
201,NH,1,Carol Shea-Porter,50.2,48.6,"2,463.65",NH
202,OH,8,John Boehner,36.4,61.9,"2,450.49",OH
203,TX,14,Randy Weber,39.5,59.3,"2,441.39",TX
204,MN,2,John Kline,49.1,49.0,"2,437.91",MN
205,FL,20,Alcee Hastings,82.6,17.0,"2,427.42",FL
206,MO,5,Emanuel Cleaver,58.9,39.4,"2,424.85",MO
207,NY,24,Daniel Maffei,57.0,41.1,"2,388.56",NY
208,MA,1,Richard Neal,64.0,34.3,"2,350.29",MA
209,MI,5,Daniel Kildee,60.7,38.3,"2,348.70",MI
210,TN,2,John Duncan,30.9,67.3,"2,320.68",TN
211,NC,13,George Holding,43.7,55.3,"2,280.59",NC
212,OH,12,Pat Tiberi,43.9,54.4,"2,271.91",OH
213,PA,12,Keith Rothfus,40.9,57.8,"2,163.03",PA
214,TX,31,John Carter,38.3,59.6,"2,154.49",TX
215,TX,6,Joe Barton,40.8,57.9,"2,148.41",TX
216,FL,26,Joe Garcia,53.1,46.4,"2,098.66",FL
217,NJ,2,Frank LoBiondo,53.5,45.4,"2,092.43",NJ
218,OK,5,James Lankford,40.8,59.2,"2,073.90",OK
219,PA,18,Tim Murphy,41.0,57.9,"2,072.79",PA
220,CT,2,Joe Courtney,55.9,42.6,"1,987.68",CT
221,OH,14,David Joyce,47.6,50.9,"1,953.14",OH
222,MD,6,John Delaney,55.4,42.6,"1,950.26",MD
223,DE,0,John Carney,58.6,40.0,"1,948.54",DE
224,IN,5,Susan Brooks,40.7,57.5,"1,924.76",IN
225,WI,5,Jim Sensenbrenner,37.7,61.3,"1,890.75",WI
226,FL,4,Ander Crenshaw,35.4,63.7,"1,875.97",FL
227,CA,10,Jeff Denham,50.6,47.0,"1,818.79",CA
228,FL,8,Bill Posey,42.2,56.8,"1,752.06",FL
229,PA,17,Matthew Cartwright,55.4,43.3,"1,733.22",PA
230,CA,5,Mike Thompson,69.7,27.5,"1,730.82",CA
231,WI,1,Paul Ryan,47.4,51.6,"1,727.92",WI
232,FL,9,Alan Grayson,61.9,37.2,"1,707.49",FL
233,CA,25,Buck McKeon,47.8,49.7,"1,690.50",CA
234,OK,1,Jim Bridenstine,34.2,65.8,"1,631.67",OK
235,MA,2,Jim McGovern,58.7,39.2,"1,628.00",MA
236,IL,14,Randy Hultgren,44.2,54.2,"1,597.60",IL
237,SC,1,Mark Sanford,40.2,58.3,"1,547.86",SC
238,PA,4,Scott Perry,41.5,57.1,"1,517.84",PA
239,FL,18,Patrick Murphy,47.6,51.7,"1,512.55",FL
240,MI,8,Mike Rogers,48.0,51.1,"1,503.18",MI
241,MD,5,Steny Hoyer,66.2,32.3,"1,481.24",MD
242,TX,12,Kay Granger,31.7,66.8,"1,441.16",TX
243,VA,10,Frank Wolf,48.8,49.9,"1,372.24",VA
244,FL,5,Corrine Brown,71.2,28.1,"1,355.03",FL
245,NY,18,Sean Maloney,51.4,47.1,"1,353.42",NY
246,SC,4,Trey Gowdy,36.2,62.2,"1,299.30",SC
247,PA,15,Charles Dent,47.9,50.8,"1,285.03",PA
248,LA,2,Cedric Richmond,75.8,22.8,"1,268.48",LA
249,TN,5,Jim Cooper,55.9,42.5,"1,248.57",TN
250,CT,5,Elizabeth Esty,53.5,45.3,"1,248.16",CT
251,CA,9,Jerry McNerney,57.8,40.1,"1,245.28",CA
252,NY,20,Paul Tonko,59.2,38.8,"1,231.28",NY
253,MA,9,Bill Keating,55.5,43.1,"1,214.74",MA
254,OH,16,Jim Renacci,45.2,53.4,"1,205.34",OH
255,CA,22,Devin Nunes,41.6,56.6,"1,165.12",CA
256,IN,1,Peter Visclosky,61.2,37.4,"1,157.02",IN
257,OH,10,Mike Turner,48.2,50.1,"1,129.76",OH
258,FL,10,Daniel Webster,45.7,53.4,"1,129.32",FL
259,IL,2,Jesse Jackson,80.7,18.5,"1,080.67",IL
260,OR,3,Earl Blumenauer,72.0,24.7,"1,074.46",OR
261,GA,11,Phil Gingrey,31.5,66.9,"1,071.25",GA
262,NC,4,David Price,71.4,27.4,"1,045.35",NC
263,TX,22,Pete Olson,36.7,62.1,"1,032.84",TX
264,WA,2,Rick Larsen,59.2,38.0,"1,015.02",WA
265,PA,16,Joseph Pitts,46.3,52.4,997.68,PA
266,VA,2,Scott Rigell,50.1,48.6,991.68,VA
267,NJ,5,Scott Garrett,47.9,51.0,991.3,NJ
268,NJ,7,Leonard Lance,46.3,52.5,970.19,NJ
269,VA,3,Bobby Scott,79.0,20.0,947.1,VA
270,CA,26,Julia Brownley,54.0,43.7,939.12,CA
271,CA,42,Ken Calvert,41.4,56.5,935.96,CA
272,CA,19,Zoe Lofgren,71.2,26.5,915.34,CA
273,TX,26,Michael Burgess,30.7,67.6,907.15,TX
274,NJ,3,Jon Runyan,51.8,47.2,899.7,NJ
275,OH,13,Tim Ryan,62.9,35.4,894.3,OH
276,FL,12,Gus Bilirakis,44.8,54.0,883.75,FL
277,FL,16,Vern Buchanan,44.9,54.2,875.33,FL
278,PA,7,Patrick Meehan,48.5,50.4,862.56,PA
279,PA,6,Jim Gerlach,48.1,50.6,860.47,PA
280,MD,8,Chris Van Hollen,62.0,36.1,859.85,MD
281,NC,9,Robert Pittenger,42.8,56.2,856.93,NC
282,WA,10,Denny Heck,56.3,41.1,826.67,WA
283,FL,15,Dennis Ross,45.6,53.3,818.51,FL
284,RI,2,Jim Langevin,59.8,38.3,765.32,RI
285,MA,3,Niki Tsongas,56.9,41.4,757.86,MA
286,KS,3,Kevin Yoder,44.3,53.8,757.2,KS
287,FL,19,Trey Radel,38.8,60.6,750.37,FL
288,GA,13,David Scott,69.2,30.0,714.95,GA
289,TX,16,Beto O'Rourke,64.2,34.5,710.35,TX
290,PA,8,Mike Fitzpatrick,49.3,49.4,706.93,PA
291,CA,27,Judy Chu,62.6,35.0,699.9,CA
292,CA,18,Anna Eshoo,68.2,28.9,696.12,CA
293,NJ,4,Chris Smith,44.7,54.2,691.88,NJ
294,OH,1,Steve Chabot,46.3,52.4,686.96,OH
295,CT,1,John Larson,63.3,35.6,675.45,CT
296,MA,4,Joe Kennedy,57.1,41.3,668.27,MA
297,NY,1,Timothy Bishop,49.6,49.1,650.02,NY
298,AZ,6,David Schweikert,38.8,59.5,625.07,AZ
299,CA,15,Eric Swalwell,68.0,29.8,599.45,CA
300,TX,35,Lloyd Doggett,63.0,34.6,593.77,TX
301,CA,49,Darrell Issa,45.7,52.4,553.08,CA
302,NC,12,Mel Watt,78.5,20.8,549.66,NC
303,CA,7,Ami Bera,50.8,46.8,548.65,CA
304,AZ,8,Trent Franks,36.9,61.7,539.66,AZ
305,MN,3,Erik Paulsen,49.6,48.8,527.05,MN
306,MA,6,John Tierney,54.7,43.9,526.79,MA
307,FL,7,John Mica,47.1,51.8,513.58,FL
308,NY,25,Louise Slaughter,58.8,39.4,510.19,NY
309,NE,2,Lee Terry,45.7,52.9,509.74,NE
310,NJ,11,R. Frelinghuysen,46.6,52.4,504.97,NJ
311,GA,4,Hank Johnson,73.6,25.6,496.6,GA
312,CA,11,George Miller,67.6,30.0,493.61,CA
313,MD,7,Elijah Cummings,76.0,22.5,488.03,MD
314,TN,9,Steve Cohen,78.3,20.9,483.39,TN
315,TX,3,Sam Johnson,34.2,64.3,480.88,TX
316,CO,6,Mike Coffman,51.6,46.5,474.66,CO
317,CT,3,Rosa DeLauro,62.6,36.3,470.34,CT
318,MO,2,Ann Wagner,41.4,57.1,465.76,MO
319,OH,9,Marcy Kaptur,67.6,30.9,464.65,OH
320,CT,4,Jim Himes,55.1,44.0,460.73,CT
321,MI,11,Kerry Bentivolio,46.9,52.3,419.26,MI
322,NJ,12,Rush Holt,66.5,32.4,412.23,NJ
323,MI,12,John Dingell,66.2,32.8,403.21,MI
324,GA,7,Rob Woodall,38.3,60.2,392.61,GA
325,NY,17,Nita Lowey,57.1,41.9,382.63,NY
326,IL,6,Peter Roskam,45.1,53.3,378.78,IL
327,TX,30,Eddie Johnson,79.6,19.6,356.27,TX
328,NJ,1,Robert Andrews,65.1,33.8,350.02,NJ
329,MD,2,Dutch Ruppersberger,62.9,35.1,348.88,MD
330,CO,7,Ed Perlmutter,56.1,41.3,342.11,CO
331,MN,4,Betty Mccollum,62.5,35.5,332.49,MN
332,CA,45,John Campbell,43.0,54.8,330.39,CA
333,MA,8,Stephen Lynch,57.8,40.8,326.37,MA
334,KY,3,John Yarmuth,55.7,42.8,319.34,KY
335,CA,41,Mark Takano,61.5,36.3,316.54,CA
336,TX,2,Ted Poe,35.6,62.9,308.75,TX
337,MD,3,John Sarbanes,60.6,37.2,304.14,MD
338,IN,7,Andre Carson,62.9,35.4,303.84,IN
339,IL,10,Brad Schneider,57.5,41.1,299.78,IL
340,GA,6,Tom Price,37.5,60.8,298.76,GA
341,MD,4,Donna Edwards,78.3,20.7,297.81,MD
342,AZ,5,Matt Salmon,34.6,63.8,293.47,AZ
343,CA,33,Henry Waxman,60.6,36.8,288.58,CA
344,IL,11,Bill Foster,57.8,40.6,280.95,IL
345,RI,1,David Cicilline,66.2,32.2,268.49,RI
346,CA,52,Scott Peters,52.1,45.7,267,CA
347,FL,14,Kathy Castor,65.1,34.0,265.4,FL
348,MA,5,Ed Markey,65.2,33.1,265.08,MA
349,GA,5,John Lewis,83.1,15.8,264.91,GA
350,TX,24,Kenny Marchant,38.0,60.4,262.76,TX
351,FL,21,Ted Deutch,60.6,38.9,260.97,FL
352,CA,14,Jackie Speier,74.2,23.6,259.5,CA
353,IL,1,Bobby Rush,79.0,20.2,258.38,IL
354,NY,3,Steve Israel,50.8,48.2,254.92,NY
355,OH,11,Marcia Fudge,82.8,16.5,244.46,OH
356,IL,3,Dan Lipinski,55.9,42.6,237.18,IL
357,TX,18,Sheila Jackson Lee,76.1,22.8,235.2,TX
358,OH,3,Joyce Beatty,69.7,28.9,228,OH
359,MO,1,Lacy Clay,79.9,18.9,225.36,MO
360,NY,26,Brian Higgins,63.9,34.3,219.13,NY
361,CA,28,Adam Schiff,70.3,26.5,218.45,CA
362,CA,31,Gary Miller,57.2,40.6,218.24,CA
363,CA,47,Alan Lowenthal,60.0,37.5,216.21,CA
364,NJ,6,Frank Pallone,61.4,37.4,215.55,NJ
365,TX,33,Marc Veasey,72.0,27.1,211.94,TX
366,PA,14,Mike Doyle,68.0,30.6,209.29,PA
367,HI,1,Colleen Hanabusa,69.7,29.0,209.22,HI
368,FL,27,Ileana Ros-Lehtinen,53.1,46.4,208.84,FL
369,IL,8,Tammy Duckworth,57.4,40.9,205.52,IL
370,AZ,7,Ed Pastor,71.7,26.5,205.12,AZ
371,CA,39,Ed Royce,47.1,50.8,204.4,CA
372,TX,20,Joaquin Castro,58.9,39.7,199.68,TX
373,CO,1,Diana DeGette,69.0,28.8,189.62,CO
374,TX,29,Gene Green,65.9,33.0,187.07,TX
375,FL,13,Bill Young,50.1,48.6,186.03,FL
376,MI,14,Gary Peters,81.0,18.6,185.73,MI
377,TX,32,Pete Sessions,41.5,57.0,185.66,TX
378,VA,11,Gerry Connolly,62.5,36.3,185.09,VA
379,MI,13,John Conyers,85.2,14.3,184.85,MI
380,CA,17,Mike Honda,71.9,25.5,184.85,CA
381,MI,9,Sander Levin,57.2,41.9,183.59,MI
382,WA,9,Adam Smith,68.3,29.6,183.43,WA
383,NY,2,Peter King,51.6,47.2,182.01,NY
384,CA,6,Doris Matsui,69.1,28.3,175.04,CA
385,FL,22,Lois Frankel,54.4,44.9,172.88,FL
386,FL,23,D.W. Schultz,61.5,37.9,169.1,FL
387,CA,35,Gloria McLeod,67.4,30.6,168.88,CA
388,TX,9,Al Green,78.0,21.1,165.64,TX
389,AZ,9,Kyrsten Sinema,51.1,46.6,164.79,AZ
390,TX,7,John Culberson,38.6,59.9,161.94,TX
391,PA,13,Allyson Schwartz,66.2,32.9,155.18,PA
392,VA,8,Jim Moran,67.8,31.0,149.24,VA
393,CA,48,Dana Rohrabacher,43.0,54.7,145.47,CA
394,WA,7,Jim McDermott,79.2,18.1,144.13,WA
395,CA,30,Brad Sherman,65.3,32.1,135.94,CA
396,MN,5,Keith Ellison,73.5,24.0,135.66,MN
397,CA,53,Susan Davis,61.4,36.4,135.43,CA
398,WI,4,Gwen Moore,75.3,23.8,128.35,WI
399,CA,32,Grace Napolitano,65.2,32.5,124.23,CA
400,NY,4,Carolyn McCarthy,56.3,42.8,110.85,NY
401,FL,24,Frederica Wilson,87.5,12.1,106.08,FL
402,IL,9,Jan Schakowsky,65.0,33.3,105.35,IL
403,NV,1,Dina Titus,65.6,32.4,104.5,NV
404,CA,38,Linda Sanchez,64.9,33.0,101.46,CA
405,CA,13,Barbara Lee,87.5,9.0,96.79,CA
406,IL,5,Mike Quigley,66.0,31.8,95.71,IL
407,NJ,9,Bill Pascrell,68.3,30.8,95.34,NJ
408,CA,29,Tony Cardenas,77.0,20.5,92.03,CA
409,CA,44,Janice Hahn,84.7,13.6,79.36,CA
410,NY,16,Eliot Engel,73.7,25.5,78.37,NY
411,PA,1,Robert Brady,82.3,16.9,77.91,PA
412,NJ,10,Donald Payne Jr.,87.9,11.5,75.92,NJ
413,PA,2,Chaka Fattah,90.4,9.0,74.14,PA
414,CA,43,Maxine Waters,78.0,20.0,72.03,CA
415,CA,46,Loretta Sanchez,61.4,36.2,71.72,CA
416,NY,11,Mike Grimm,51.6,47.3,65.83,NY
417,MA,7,Mike Capuano,82.5,15.6,62.67,MA
418,IL,7,Danny Davis,87.2,11.8,62.52,IL
419,CA,40,L. Roybal-Allard,81.5,16.5,57.69,CA
420,CA,37,Karen Bass,84.9,12.7,55.26,CA
421,NJ,8,Albio Sires,78.3,20.7,54.69,NJ
422,IL,4,Luis Gutierrez,80.9,17.1,52.45,IL
423,NY,5,Gregory Meeks,90.6,9.1,51.88,NY
424,CA,34,Xavier Becerra,83.0,14.1,47.66,CA
425,CA,12,Nancy Pelosi,84.1,12.5,38.97,CA
426,NY,6,Grace Meng,67.8,31.0,29.78,NY
427,NY,8,Hakeem Jeffries,89.2,10.2,29.66,NY
428,NY,14,Joe Crowley,80.7,18.3,28.29,NY
429,NY,7,Nydia Velazquez,88.4,10.3,16.16,NY
430,NY,9,Yvette Clarke,85.2,13.9,15.54,NY
431,NY,12,Carolyn Maloney,76.9,21.5,14.79,NY
432,NY,15,Jose E. Serrano,96.7,3.0,14.54,NY
433,NY,10,Jerrold Nadler,73.6,25.1,14.25,NY
434,NY,13,Charles Rangel,94.6,4.6,10.25,NY
435,AK,0,Don Young,41.2,55.3,"570,640.95",AK
436,MT,0,Steve Daines,41.7,55.4,"145,545.80",MT
437,WY,0,Cynthia Lummis,27.6,68.2,"97,093.14",WY
438,SD,0,Kristi Noem,39.9,57.9,"75,811.00",SD
439,NM,2,Steve Pearce,44.9,51.7,"71,739.49",NM
440,OR,2,Greg Walden,40.5,56.8,"69,442.78",OR
441,ND,0,Kevin Cramer,38.9,58.7,"69,000.80",ND
442,NE,3,Adrian Smith,27.8,70.2,"67,435.41",NE
443,TX,23,Pete Gallego,48.1,50.7,"58,059.18",TX
444,NV,2,Mark Amodei,44.8,52.9,"55,829.71",NV
445,AZ,1,Ann Kirkpatrick,47.9,50.4,"55,039.61",AZ
446,KS,1,Tim Huelskamp,27.6,70.1,"52,542.50",KS
447,NV,4,Steven Horsford,54.4,43.7,"50,997.97",NV
448,CO,3,Scott Tipton,45.8,51.8,"49,731.77",CO
449,NM,3,Ben R. Lujan,57.5,38.7,"44,958.52",NM
450,ID,2,Mike Simpson,33.1,64.1,"43,225.09",ID
451,UT,2,Chris Stewart,29.2,68.0,"39,987.95",UT
452,ID,1,Raul Labrador,32.2,64.9,"39,418.02",ID
453,TX,13,Mac Thornberry,18.5,80.2,"38,349.24",TX
454,CO,4,Cory Gardner,39.2,58.5,"38,102.67",CO
455,OK,3,Frank Lucas,26.1,73.9,"34,116.73",OK
456,MN,7,Collin C. Peterson,44.1,53.9,"33,429.31",MN
457,AZ,4,Paul Gosar,31.0,67.2,"33,199.45",AZ
458,CA,8,Paul Cook,41.7,55.6,"32,867.21",CA
459,CA,1,Doug La Malfa,40.3,56.6,"28,089.47",CA
460,MN,8,Richard Nolan,51.7,46.2,"27,908.13",MN
461,TX,11,Mike Conaway,19.6,79.2,"27,832.17",TX
462,ME,2,Mike Michaud,52.9,44.4,"27,557.40",ME
463,TX,19,Randy Neugebauer,25.0,73.6,"25,835.59",TX
464,MI,1,Dan Benishek,45.3,53.6,"25,027.75",MI
465,WI,7,Sean Duffy,47.8,50.9,"23,037.26",WI
466,IA,4,Steve King,45.3,53.4,"22,756.75",IA
467,AR,4,Tom Cotton,35.9,61.8,"22,338.08",AR
468,OK,2,Markwayne Mullin,32.2,67.8,"20,995.35",OK
469,UT,3,Jason Chaffetz,19.5,78.3,"20,070.54",UT
470,MO,8,Jo Ann Emerson,32.0,65.9,"19,901.17",MO
471,UT,1,Rob Bishop,20.4,77.4,"19,560.79",UT
472,AR,1,Rick Crawford,36.3,61.0,"19,318.29",AR
473,WA,4,Doc Hastings,37.9,59.7,"19,250.22",WA
474,MO,6,Sam Graves,37.9,60.0,"18,198.62",MO
475,OR,4,Peter DeFazio,51.7,45.0,"17,274.04",OR
476,AZ,3,Raul Grijalva,61.4,36.9,"15,688.79",AZ
477,MS,2,Bennie Thompson,66.4,33.0,"15,551.51",MS
478,WA,5,Cathy Rodgers,43.7,53.5,"15,473.13",WA
479,NY,21,Bill Owens,52.2,46.1,"15,114.76",NY
480,IL,15,John Shimkus,34.1,63.9,"14,695.67",IL
481,LA,5,Rodney Alexander,37.7,61.0,"14,452.88",LA
482,MO,4,Vicky Hartzler,36.4,61.2,"14,401.38",MO
483,KS,4,Mike Pompeo,36.1,61.6,"14,315.68",KS
484,KS,2,Lynn Jenkins,42.0,55.6,"14,143.34",KS
